Stock, Sector, Price, Open Price, Previous Price, Volume, Avg Volume, 50 Day MA, 200 Day MA, Market Cap, Book Value, EBITDA, Dividend Pay Date, Dividend Share, Ex Dividend Date, Dividend Yield, PE Ratio, PE Growth RatioPrice Sales, Price Book, Short Ratio, EPS Estimate Next QuarterEPS Estimate Next Year, EPS Estimate Current Year, Price EPS Estimate Current Year, Price EPS Estimate Next Year, One Year Target PriceAVAV, Semiconductors,25.86,25.79,25.76,63218,175094,27.72,26.56
KLXI,Aerospace,47.44,47.52,47.36,389270,550744,43.81,36.51,,,,,,,,,,,,,,,,,,,,,,,,
TATT,Aerospace,8.7,8.55,8.55,5925,11710,8.1,7.65,,,,,,,,,,,,,,,,,,,,,,,,
AIR,Aerospace,32.28,32.14,31.93,216494,243806,35.46,29.91,,,,,,,,,,,,,,,,,,,,,,,,
BA,Aerospace,158.83,158.74,158.29,2435391,3405650,155.62,139.85,,,,,,,,,,,,,,,,,,,,,,,,
ERJ,Aerospace,20.88,20.92,20.69,661999,1312610,19.39,19.49,,,,,,,,,,,,,,,,,,,,,,,,
HEI,Aerospace,78.03,77.67,77.35,100019,146514,78.76,71.44,,,,,,,,,,,,,,,,,,,,,,,,
TXT,Aerospace,49.49,49.84,49.77,1074349,1473610,48.46,41.88,,,,,,,,,,,,,,,,,,,,,,,,
TGI,Aerospace,26.95,26.7,26.55,432654,694778,27.55,29.4,,,,,,,,,,,,,,,,,,,,,,,,
UTX,Aerospace,110.22,110.93,110.82,2880618,3269670,109.82,105.62,,,,,,,,,,,,,,,,,,,,,,,,
OMAB,Aerospace,32.23,31.77,31.72,33267,69260,36.09,44.89,,,,,,,,,,,,,,,,,,,,,,,,
PAC,Aerospace,75.94,73.39,73.51,272361,111735,81.87,93.85,,,,,,,,,,,,,,,,,,,,,,,,
ASR,Aerospace,141.4,140.36,139.53,18917,52697,144.74,151.21,,,,,,,,,,,,,,,,,,,,,,,,