Stock,Finance, Price/50 Day MA, Pct Price Change, Pct Vol,Exchange,avg_vol
AFL,Finance,0.995706312,-0.42%,2783793, NYQ,2075380
AFSD,Finance,1.033905229,0.44%,22558, NYQ,34044
AIZ,Finance,1.035036018,0.03%,382823, NYQ,479735
CNO,Finance,0.987869198,-2.70%,1458864, NYQ,1793380
PFG,Finance,1.009713701,-0.19%,0, NYQ,1647460
GTS,Finance,0.936742934,-2.88%,11350, NYQ,81319
UNM,Finance,1.01803653,1.26%,245068, NYQ,1840600
ANCB,Finance,1.0090375,0.00%,2980, NGM,8319
ENFC,Finance,1.068913481,-0.70%,0, NGM,8921
ESSA,Finance,1.006321113,-0.44%,0, NMS,20873
FBNK,Finance,0.967741935,-4.69%,0, NMS,29219
FNWB,Finance,0.958199357,-0.47%,26431, NGM,46341
FSBW,Finance,0.998017559,0.66%,938, NCM,4554
GCBC,Finance,1.047531149,-1.63%,0, NCM,5071
HFWA,Finance,1.032826261,3.10%,214446, NMS,101267
HBCP,Finance,0.991960078,-3.13%,2451, NMS,12249
MLVF,Finance,1.016908213,-0.24%,0, NGM,14370
PBIP,Finance,1.034482759,-0.29%,4264, NGM,22602
SMBC,Finance,1.063057521,-0.40%,12040, NGM,15016
TSBK,Finance,1.022931206,0.00%,303, NGM,21675
UCFC,Finance,0.956290868,-3.09%,0, NMS,84821
UBNK,Finance,0.992094862,0.00%,0, NMS,133198
WEBK,Finance,1.042919944,-1.66%,1000, NCM,2821
WBKC,Finance,1.073794817,1.31%,0, NCM,1894
WVFC,Finance,1.015406162,0.00%,0, NGM,1689
BHLB,Finance,0.974351826,-2.51%,219065, NYQ,173705
NYCB,Finance,0.964987715,0.73%,3591336, NYQ,4448850
ABIL,Finance,1.109324759,3.60%,0, NCM,24787
AGFS,Finance,0.984042553,1.28%,0, NMS,360690
ANDA,Finance,0.999396196,0.00%,75, NCM,3803
ARWA,Finance,1.152791381,0.00%,0, NCM,43302
AXAR,Finance,1.014127144,0.00%,0, NCM,6303
AXARU,Finance,0.999012565,0.00%,0, NCM,202
BHAC,Finance,0.994123408,0.00%,0, NCM,1181
BLVD,Finance,1.005055612,0.10%,0, NCM,22784
BLVDU,Finance,0.998043265,-0.29%,501, NCM,4268
CLAC,Finance,1.008064516,-0.50%,100, NCM,5729
CLACU,Finance,1.022351798,-0.67%,0, NCM,4667
CCN,Finance,1.254464286,1.08%,16440, NGM,70297
CFCO,Finance,1.005050505,0.00%,0, NCM,35421
CFCOU,Finance,1.011516315,0.00%,1, NCM,17949
CPAA,Finance,1.006711409,0.00%,2400, NCM,703
EAGL,Finance,1.007049345,0.00%,1400, NCM,49314
EAGLU,Finance,0.991337825,-0.39%,364, NCM,7363
ECAC,Finance,1.022395326,-2.45%,380, NCM,322
ECACU,Finance,1,0.00%,0, NCM, None
ELEC,Finance,0.999757635,0.00%,465, NCM,8410
GPAC,Finance,1.022380468,0.00%,4800, NCM,1754
GTYH,Finance,0.954235638,0.00%,0, NCM,554
HRMN,Finance,1.005907298,0.20%,4112, NCM,6276